PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BLKM
Station name, Upper_Block_Midd
Begin Date, 2017-01-15
End Date, 2018-01-23
Release Date, 2018-02-13
Source file, BLKM.pbo.nam08.pos
Offset from source file, -1.72 mm North, -33.08 mm East, -7.46 mm Vertical
Reference position, 42.6131348870 North Latitude, -114.8905526888 East Longitude, 1079.34090 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-06-13,2.16, -53.45, -33.31, 1.95, 1.57, 6.75, suppf,
2017-06-14,1.93, -55.18, -29.87, 1.99, 1.62, 6.92, suppf,
2017-06-15,1.57, -55.14, -29.92, 2.04, 1.66, 7.14, suppf,
2017-06-16,1.22, -56.79, -31.91, 1.96, 1.59, 6.6, suppf,
2017-06-17,2.02, -56.91, -33.17, 2.08, 1.67, 7.19, suppf,
2017-06-18,1.66, -56.33, -35.13, 2.13, 1.73, 7.35, suppf,
2017-06-19,1.74, -57.52, -34.87, 2.1, 1.72, 7.31, suppf,
2017-06-20,2.31, -59.58, -41.82, 2.33, 1.87, 7.92, suppf,
2017-06-21,1.24, -59.34, -34.36, 2.22, 1.81, 7.66, suppf,
2017-06-22,2.18, -59.24, -38.98, 2.12, 1.73, 7.39, suppf,
2017-06-23,3.21, -59.46, -41.85, 2.06, 1.68, 7.18, suppf,
2017-06-24,3.69, -60.95, -52.40, 2.06, 1.68, 7.15, suppf,
2017-06-25,3.19, -61.21, -46.09, 2.08, 1.7, 7.26, suppf,
2017-06-26,2.91, -62.36, -47.87, 2.15, 1.76, 7.45, suppf,
2017-06-27,4.00, -64.52, -42.30, 2.27, 1.88, 7.94, suppf,
2017-06-28,4.20, -62.82, -44.80, 2.2, 1.8, 7.73, suppf,
2017-06-29,3.04, -64.62, -45.01, 2.08, 1.72, 7.37, suppf,
2017-06-30,3.15, -65.35, -46.12, 2.07, 1.71, 7.26, suppf,
2017-07-01,2.69, -64.77, -43.54, 2.14, 1.79, 7.53, suppf,
2017-07-02,3.87, -65.71, -48.38, 2.13, 1.75, 7.45, suppf,
2017-07-03,3.24, -65.95, -43.73, 2.11, 1.74, 7.39, suppf,
2017-07-04,2.12, -67.97, -45.92, 2.15, 1.78, 7.66, suppf,
2017-07-05,3.67, -68.09, -51.28, 2.1, 1.72, 7.37, suppf,
2017-07-06,2.76, -68.36, -50.75, 2.2, 1.75, 7.55, suppf,
2017-07-07,3.84, -69.47, -53.56, 2.15, 1.73, 7.42, suppf,
2017-07-08,3.24, -69.74, -54.54, 2.13, 1.76, 7.57, suppf,
2017-07-09,3.77, -71.05, -53.16, 2.29, 1.88, 7.96, suppf,
2017-07-10,3.68, -70.41, -48.87, 2.22, 1.84, 7.83, suppf,
2017-07-11,3.51, -72.01, -44.87, 2.09, 1.74, 7.34, suppf,
2017-07-12,3.49, -72.55, -55.93, 2.11, 1.76, 7.43, suppf,
2017-07-13,3.86, -71.72, -52.26, 2.15, 1.8, 7.49, suppf,
2017-07-14,2.98, -72.98, -55.83, 2.21, 1.83, 7.72, suppf,
2017-07-15,3.01, -72.74, -54.47, 2.34, 1.9, 8.08, suppf,
2017-07-16,3.32, -73.84, -55.26, 2.25, 1.85, 7.8, suppf,
2017-07-17,2.83, -74.94, -53.62, 2.14, 1.75, 7.49, suppf,
2017-07-18,2.81, -74.75, -61.03, 2.14, 1.73, 7.45, suppf,
2017-07-19,3.51, -76.04, -50.31, 2.18, 1.8, 7.63, suppf,
2017-07-20,3.70, -75.11, -58.51, 2.16, 1.77, 7.57, suppf,
2017-07-21,3.86, -76.52, -56.95, 2.14, 1.75, 7.46, suppf,
2017-07-22,4.40, -77.37, -63.89, 2.16, 1.76, 7.54, suppf,
2017-07-23,4.12, -77.75, -60.74, 2.16, 1.75, 7.25, suppf,
2017-07-24,3.77, -77.06, -59.68, 2.27, 1.87, 7.81, suppf,
2017-07-25,4.08, -76.46, -63.58, 2.28, 1.85, 7.8, suppf,
2017-07-26,5.28, -78.73, -61.13, 2.32, 1.89, 7.97, suppf,
2017-07-27,3.79, -78.99, -71.37, 2.36, 1.92, 8.09, suppf,
2017-07-28,4.04, -78.73, -64.52, 2.16, 1.77, 7.42, suppf,
2017-07-29,4.08, -78.17, -62.40, 2.19, 1.8, 7.6, suppf,
2017-07-30,3.72, -79.42, -65.89, 2.12, 1.72, 7.33, suppf,
2017-07-31,4.28, -79.98, -69.15, 2.17, 1.79, 7.67, suppf,
2017-08-01,3.81, -78.00, -66.07, 2.2, 1.81, 7.71, suppf,
2017-08-02,3.91, -79.74, -67.54, 2.15, 1.77, 7.55, suppf,
2017-08-03,4.71, -81.13, -69.10, 2.22, 1.83, 7.78, suppf,
2017-08-04,3.99, -82.14, -69.04, 2.19, 1.81, 7.64, suppf,
2017-08-05,3.45, -81.62, -60.72, 2.21, 1.83, 7.68, suppf,
2017-08-06,4.89, -82.36, -70.59, 2.15, 1.78, 7.54, suppf,
2017-08-07,4.27, -81.60, -68.41, 2.18, 1.8, 7.55, suppf,
2017-08-08,3.57, -83.50, -63.30, 2.12, 1.76, 7.27, suppf,
2017-08-09,4.12, -83.57, -70.33, 2.12, 1.74, 7.47, suppf,
2017-08-10,3.37, -83.85, -69.13, 2.22, 1.85, 7.81, suppf,
2017-08-11,3.11, -84.53, -69.04, 2.3, 1.89, 8.04, suppf,
2017-08-12,5.46, -83.97, -72.64, 2.19, 1.82, 7.64, suppf,
2017-08-13,3.50, -85.17, -64.98, 2.22, 1.82, 7.67, suppl,
2017-08-14,4.62, -86.17, -75.23, 2.06, 1.72, 7.13, suppl,
2017-08-15,4.08, -87.72, -73.03, 2.13, 1.78, 7.49, suppl,
2017-08-16,4.93, -87.68, -69.53, 2.11, 1.77, 7.44, suppl,
2017-08-17,4.09, -89.19, -74.43, 2.12, 1.77, 7.43, suppl,
2017-08-18,3.24, -89.52, -75.27, 2.22, 1.8, 7.63, suppl,
2017-08-19,5.10, -88.89, -77.16, 2.1, 1.73, 7.31, suppl,
2017-08-20,4.73, -89.68, -79.29, 2.19, 1.82, 7.8, suppl,
2017-08-21,5.21, -89.68, -76.30, 2.15, 1.8, 7.6, suppl,
2017-08-22,4.90, -89.06, -76.23, 2.15, 1.76, 7.55, suppl,
2017-08-23,4.25, -89.45, -79.33, 2.21, 1.81, 7.68, suppl,
2017-08-24,5.68, -90.45, -74.74, 2.23, 1.85, 7.78, suppl,
2017-08-25,5.36, -89.71, -79.28, 2.23, 1.82, 7.72, suppl,
2017-08-26,6.26, -89.72, -74.81, 2.15, 1.75, 7.5, suppl,
2017-08-27,4.39, -90.34, -76.48, 2.12, 1.75, 7.41, suppl,
2017-08-28,5.01, -90.32, -79.15, 2.14, 1.77, 7.46, suppl,
2017-08-29,6.21, -90.08, -77.95, 2.18, 1.8, 7.59, suppl,
2017-08-30,6.27, -91.22, -81.29, 2.28, 1.86, 7.75, suppl,
2017-08-31,5.54, -90.84, -78.75, 2.26, 1.84, 7.71, suppl,
2017-09-01,5.28, -91.57, -80.24, 2.18, 1.82, 7.45, suppl,
