datetime	cfs
5/8/2017	182
5/9/2017	173
5/10/2017	148
5/11/2017	127
5/12/2017	136
5/13/2017	159
5/14/2017	266
5/15/2017	447
5/16/2017	469
5/17/2017	493
5/18/2017	506
5/19/2017	494
5/20/2017	513
5/21/2017	510
5/22/2017	487
5/23/2017	413
5/24/2017	358
5/25/2017	264
5/26/2017	209
5/27/2017	227
5/28/2017	217
5/29/2017	211
5/30/2017	184
5/31/2017	179
6/1/2017	183
6/2/2017	185
6/3/2017	174
6/4/2017	170
6/5/2017	161
6/6/2017	143
6/7/2017	127
6/8/2017	122
6/9/2017	145
6/10/2017	176
6/11/2017	196
6/12/2017	234
6/13/2017	251
6/14/2017	263
6/15/2017	234
6/16/2017	197
6/17/2017	193
6/18/2017	181
6/19/2017	162
6/20/2017	133
6/21/2017	128
6/22/2017	125
6/23/2017	125
6/24/2017	114
6/25/2017	111
6/26/2017	103
6/27/2017	76
6/28/2017	69.3
6/29/2017	64.5
6/30/2017	69
7/1/2017	61.2
7/2/2017	56.5
7/3/2017	56.1
7/4/2017	49.2
7/5/2017	64.3
7/6/2017	74.7
7/7/2017	61.7
7/8/2017	63
7/9/2017	65.4
7/10/2017	67.3
7/11/2017	69
7/12/2017	54.1
7/13/2017	52
7/14/2017	52.4
7/15/2017	53.9
7/16/2017	61.4
7/17/2017	65.2
7/18/2017	68.6
7/19/2017	69.5
7/20/2017	66.2
7/21/2017	68.3
7/22/2017	72.5
7/23/2017	77.6
7/24/2017	81.2
7/25/2017	73.5
7/26/2017	68.8
7/27/2017	82.3
7/28/2017	83.4
7/29/2017	75.9
7/30/2017	85.6
7/31/2017	87.8
8/1/2017	76.8
8/2/2017	71.5
8/3/2017	70
8/4/2017	66.7
8/5/2017	73.5
8/6/2017	79.8
8/7/2017	96.2
8/8/2017	91.9
8/9/2017	81.2
8/10/2017	84.5
8/11/2017	102
8/12/2017	111
8/13/2017	109
8/14/2017	126
8/15/2017	130
8/16/2017	125
8/17/2017	128
8/18/2017	126
8/19/2017	125
8/20/2017	122
8/21/2017	135
8/22/2017	129
8/23/2017	130
8/24/2017	135
8/25/2017	127
8/26/2017	126
8/27/2017	136
8/28/2017	145
8/29/2017	139
8/30/2017	129
8/31/2017	134
9/1/2017	132
9/2/2017	140
9/3/2017	149
9/4/2017	151
9/5/2017	117
9/6/2017	108
9/7/2017	111
9/8/2017	131
9/9/2017	148
9/10/2017	148
9/11/2017	180
9/12/2017	212
9/13/2017	223
9/14/2017	239
9/15/2017	254
9/16/2017	265
9/17/2017	278
9/18/2017	293
9/19/2017	303
9/20/2017	305
9/21/2017	318
9/22/2017	324
9/23/2017	311
9/24/2017	316
9/25/2017	314
9/26/2017	307
9/27/2017	287
9/28/2017	292
9/29/2017	290
9/30/2017	288
10/1/2017	310
10/2/2017	319
10/3/2017	321
10/4/2017	316
10/5/2017	314
10/6/2017	312
